Risk,Workload,RecordType,Operation,FriendlyName,CustomDescription,Description
,,,UpdatedUserBriefingSettings,Updated user privacy settings,,Admin updates the user privacy settings for Briefing email.
,,,UpdatedUserMyAnalyticsSettings,Updated user MyAnalytics settings,,Admin updates user settings for personal insights.
,,,UpdateFolderPermissions,Modified folder permission,,A folder permission was changed. Folder permissions control which users in your organization can access mailbox folders and the messages in the folder.
,,,UpdateFormSetting,Updated form setting,,Form owner updates one or multiple form settings.
,,,UpdateIncidentStatus,Updated incidents status,,Updated incidents status.
,,,UpdatePhishingStatus,Updated form phishing status,,"This event is logged whenever the detailed value for the internal security status was changed, regardless of whether this changed the final security state (for example, form is now Closed or Opened). This means you might see duplicate events without a final security state change. The possible status values for this event are: -Take Down, -Take Down by Admin, -Admin Unblocked, -Auto Blocked, -Auto Unblocked, -Customer Reported, -Reset Customer Reported"
,,,UpdateResponse,Updated response,,Form owner has updated a comment or score on a quiz.
,,,UpdateUsageReportsPrivacySetting,Updated usage report privacy settings,,Admin updated privacy settings for usage reports.
,,,UpdateUserPhishingStatus,Updated user phishing status,,"This event is logged whenever the value for the user security status was changed. The value of the user status in the audit record is Confirmed as Phisher when the user created a phishing form that was taken down by the Microsoft Online safety team. If an admin unblocks the user, the value of the user's status is set to Reset as Normal User."
,,,UpdateUserSetting,Updated user setting,,Form owner updates a user setting.
,,,Upload folder to blob,Upload folder to blob,,Compress and upload customer device's folder to blob.
,,,UploadedOrgData,Uploaded organization data,,Admin uploaded organizational data file.
,,,URbacAuthorizationStatusChanged,Updated Unified RBAC configuration,,The Unified Role Based Access Control configuration was modified.
,,,UsagePolicyAcceptance,Tenant Usage Policy Acceptance,,A user accepts a tenant-specific usage policy.
,,,UsagePolicyUpdated,Changed custom usage policy,,A tenant admin updates a custom usage policy.
,,,User added,User added,,A new user has been added to an organization on Viva Goals.
,,,User deactivated,User deactivated,,A user has been deactivated in an organization.
,,,User deleted,User deleted,,A user has been deleted from an organization on Viva Goals.
,,,User logged in,User logged in,,User has logged into Viva Goals.
,,,UserInvited,User invited,,Invited user to a folder.
,,,UserSuspension,Suspended user,,User account is suspended (deactivated).
,,,Verify domain.,Verified domain,,Verified that your organization is the owner of a domain.
,,,Verify email verified domain.,Verified email verified domain,,Used email verification to verify that your organization is the owner of a domain.
,,,ViewBackupPolicyDetails,Programmatically got Details of Backup Policy,,Details of a Microsoft 365 Backup policy are accessed programmatically.
,,,ViewedExplore,Viewed Explore,,Analyst viewed visualizations in one or more Explore page tabs.
,,,ViewForm,Viewed form (design time),,Form owner opens an existing form for editing.
,,,ViewResponse,Viewed response,,Form owner views a particular response.
,,,ViewResponses,Viewed responses,,Form owner views the aggregated list of responses.
,,,ViewRuntimeForm,Viewed response page,,User has opened a response page to view. This event is logged regardless of whether the user submits a response or not.
,,,ViewUpdate,View the details of one update,,A user views the details of the update.
,,,VpnConfigurationUpdated,Updated VPN configuration,,The VPN (radius accounting) configuration was modified.
,,,WebMembersCanShareModified,Modified 'Members Can Share' setting,,The Members Can Share setting was modified on a site.
,,,WebRequestAccessModified,Modified access request setting,,The access request settings were modified on a site.
,,,WorkforceIntegrationAdded,Added workforce integration,,The Shifts app is integrated with a third-party system.
,,,WorkspaceAlertThresholdLevelUpdated,Updated alert threshold configuration,,The alerts thresholds configuration was updated.
,,,WorkspaceCreated,Created workspace,,The workspace was created.
,,,WorkspaceDeleted,Deleted workspace,,The workspace was deleted.
